Document No.,Report Date,Journal,Account,Exp. Date,As of: 11/18/2022,1 - 30,31 - 60,61 - 90,91 - 120,Older,Total,Customer Name,Amount
LS11224,04/14/2022,SS,Accounts Receivable (A/R),,,,,,,337.0,,The Fitness Center @NCBC,337.0
LS11885,09/21/2022,SS,Accounts Receivable (A/R),,,,262.96,,,,,The Fitness Center @NCBC,262.96
LS12279,12/14/2022,SS,Accounts Receivable (A/R),,6520.8,,,,,,,The Inn at Long Beach,6520.8
LS11668,07/20/2022,SS,Accounts Receivable (A/R),,,,,,,143.49,,The Pointe at East River Place,143.49
LS11798,08/16/2022,SS,Accounts Receivable (A/R),,,,,,143.49,,,The Pointe at East River Place,143.49
LS11936,09/16/2022,SS,Accounts Receivable (A/R),,,,,143.49,,,,The Pointe at East River Place,143.49
LS12081,10/18/2022,SS,Accounts Receivable (A/R),,,,143.49,,,,,The Pointe at East River Place,143.49
LS12229,11/16/2022,SS,Accounts Receivable (A/R),,,143.49,,,,,,The Pointe at East River Place,143.49
LS11692,07/13/2022,SS,Accounts Receivable (A/R),,,,,,,746.26,,The West Point Laundromat,746.26
LS12003,10/15/2022,SS,Accounts Receivable (A/R),,,,24107.1,,,,,Trace Regional Hospital,24107.1
LS11937,10/01/2022,SS,Accounts Receivable (A/R),,,,310.3,,,,,Trace Village Cabins,310.3
LS11984,10/12/2022,SS,Accounts Receivable (A/R),,,,410.41,,,,,Trace Village Cabins,410.41
LS12089,11/02/2022,SS,Accounts Receivable (A/R),,,283.55,,,,,,Trace Village Cabins,283.55
LS12241,12/03/2022,SS,Accounts Receivable (A/R),,283.55,,,,,,,Trace Village Cabins,283.55
LS11644,08/04/2022,SS,Accounts Receivable (A/R),,,,,,492.2,,,Tru Hotel Tupelo,492.2
LS11740,08/20/2022,SS,Accounts Receivable (A/R),,,,,360.54,,,,Tru Hotel Tupelo,360.54
LS12252,12/07/2022,SS,Accounts Receivable (A/R),,640.93,,,,,,,Tru Hotel Tupelo,640.93
BNK3/2021/01/0126,01/19/2021,BNK3,Accounts Receivable (A/R),,,,,,,-0.72,,VANGUARD - PINE FOREST NURSING,-0.72
BNK3/2021/01/0122,01/19/2021,BNK3,Accounts Receivable (A/R),,,,,,,-2.73,,VANGUARD - PINE FOREST NURSING,-2.73
LS11893,09/24/2022,SS,Accounts Receivable (A/R),,,,59.63,,,,,VANGUARD - Shady Lawn,59.63
LS12112,11/09/2022,SS,Accounts Receivable (A/R),,,372.9,,,,,,VANGUARD - Shady Lawn,372.9
LS12158,11/19/2022,SS,Accounts Receivable (A/R),,569.35,,,,,,,VANGUARD - Shady Lawn,569.35
LS12182,11/25/2022,SS,Accounts Receivable (A/R),,1472.11,,,,,,,VANGUARD - Shady Lawn,1472.11
LS12160,11/19/2022,SS,Accounts Receivable (A/R),,696.1,,,,,,,VICKSBURG HIGH SCHOOL,696.1
LS12105,11/06/2022,SS,Accounts Receivable (A/R),,,16089.86,,,,,,Vineyard Court Nursing Center,16089.86
INV/2020/12/0029|LS9192,12/29/2020,INV,Accounts Receivable (A/R),,,,,,,0.36,,WASH & DRY LAUNDRY - Tuscaloosa,0.36
RSS/2020/08/0001,08/17/2020,SS,Accounts Receivable (A/R),,,,,,,-39.21,,WASH & GO-GRENADA,-39.21
LS11674,08/06/2022,SS,Accounts Receivable (A/R),,,,,,355.0,,,Walnut Grove Corr Facility,355.0
LS12288,12/17/2022,SS,Accounts Receivable (A/R),,381.0,,,,,,,Walnut Grove Corr Facility,381.0
INV/2020/09/0080,09/22/2020,INV,Accounts Receivable (A/R),,,,,,,230.05,,Wasco Town Coin Laundry,230.05
LS11905,09/28/2022,SS,Accounts Receivable (A/R),,,,140.4,,,,,Wheatley Enterprises,140.4
DEP/2020/10/0010,10/16/2020,DEP,Accounts Receivable (A/R),,,,,,,-225.0,,Yazoo County Correctional Facility,-225.0
Credit 2022/0013,04/18/2022,SS,Accounts Receivable (A/R),,,,,,,-0.1,,andrew.law@captivea.com,-0.1
LS11271,03/28/2022,SS,Accounts Receivable (A/R),,,,,,,492.2,,td home,492.2
JE/2022/04/0009,04/30/2022,JE,AR PPA Fair Market Value,,,,,,,-64985.0,,Unknown Partner,-64985.0
